YearlyIncome,White,TotalIncome,TotalFirstHouseholdSize,TotalFirstHouseholdIncome,TotalEnrollments,TotalDependentsUnder18,MEDICAID,Hispanic,FoodStampsTotal,FirstShelterStayNightTotal,EverExperiencedDomesticViolence,EverExperiencedChronicHomeless,EarnedIncomeTotal,EarnedIncome,DomViolenceExp: Yes,DomViolenceExp: No,DomViolenceExp: Don't Know,ChildSupportTotal,BarriersSum,AGE
7800.0,1,650.0,5,650.0,1,3,0,0,650.0,93,0,0,0.0,0,0,0,1,0.0,0,29
9900.0,1,145.0,2,825.0,1,1,0,0,145.0,54,0,0,0.0,0,0,1,0,0.0,2,35
4788.0,1,399.0,3,399.0,1,1,1,0,0.0,3,1,0,0.0,0,1,0,0,0.0,0,35
0.0,1,0.0,3,0.0,2,1,0,0,0.0,60,1,0,0.0,0,0,1,0,0.0,0,37
0.0,1,0.0,3,0.0,4,1,1,0,0.0,7,0,0,0.0,0,0,1,0,0.0,0,30
0.0,1,0.0,3,0.0,1,1,1,0,0.0,10,1,0,0.0,0,1,0,0,0.0,2,31
2400.0,0,0.0,3,200.0,1,1,0,1,0.0,65,0,0,0.0,0,0,1,0,0.0,1,20
16824.0,0,674.0,3,1402.0,1,2,1,0,0.0,7,1,0,0.0,0,1,0,0,0.0,1,39
15912.0,1,663.0,4,1326.0,3,2,0,0,0.0,7,0,0,0.0,0,0,1,0,0.0,0,43
0.0,0,0.0,2,0.0,1,1,0,1,0.0,6,1,0,0.0,0,1,0,0,0.0,0,22
2880.0,1,240.0,4,240.0,2,2,1,0,0.0,12,1,0,0.0,0,1,0,0,0.0,1,32
3000.0,1,200.0,2,250.0,2,1,0,0,200.0,2,1,0,0.0,0,1,0,0,0.0,0,29
9372.0,0,781.0,2,781.0,2,1,1,0,175.0,31,0,0,0.0,0,0,0,1,0.0,0,29
10608.0,0,884.0,3,884.0,1,2,1,1,300.0,5,1,0,290.0,1,1,0,0,0.0,1,30
0.0,1,0.0,2,0.0,1,1,0,0,0.0,8,0,0,0.0,0,0,1,0,0.0,0,42
3600.0,0,300.0,2,300.0,2,1,0,0,300.0,83,0,0,0.0,0,0,1,0,0.0,1,22
11400.0,1,950.0,2,950.0,1,1,1,0,580.0,2,0,0,130.0,1,0,1,0,0.0,0,32
14088.0,1,500.0,5,1174.0,1,3,0,0,500.0,85,1,0,0.0,0,1,0,0,0.0,3,28
